<wavelength [nm]>,<Efficiency>
377.8148467,0.066478675
389.4990765,2.672647162
404.7215791,2.805463518
418.1106521,1.831194924
430.6681988,1.377617201
445.4910116,0.794219246
458.0432006,0.666161438
474.913754,0.669051815
489.1086359,0.736587945
498.9840818,0.738279873
513.5743673,1.782446246
523.8420021,2.956080367
535.980571,2.958160028
546.2867818,1.788050758
554.9395841,1.073387381
565.8340783,1.661191399
573.5824885,5.894289743
576.3963906,9.931230173
578.1837434,13.83778639
580.3472118,19.89284455
583.5640183,24.45068735
584.9173916,29.72435671
586.5032922,33.37046176
590.1412196,37.3424392
597.0806063,40.72904477
610.0099824,42.68438491
622.7646951,42.7516743
634.3181953,40.80052873
644.4422418,38.19809658
649.6564258,33.90211491
653.2364892,28.88970744
655.3549524,25.17913289
657.4777018,21.2081424
659.1868312,17.36728939
663.5802044,12.94095876
666.5366232,8.31906944
670.7071131,4.934367289
677.9561791,2.005921748
687.8605569,0.249806133
700.0066267,-0.203842087
711.5290518,-0.266972154
730.0444413,-0.198695805
